Date,Citibank,Morgan Stanley,Goldman Sachs,J.P. Morgan
2019-04-10,65.519997,44.450001,202.979996,105.339996
2019-04-11,65.910004,44.799999,202.830002,106.230003
2019-04-12,67.419998,46.689999,207.839996,111.209999
2019-04-15,67.379997,46.080002,199.910004,109.940002
2019-04-16,69.309998,47.020000,201.839996,111.099998
2019-04-17,70.349998,48.259998,207.899994,114.300003
2019-04-18,69.669998,47.549999,205.910004,113.459999
2019-04-22,69.089996,47.290001,204.600006,113.599998
2019-04-23,69.199997,47.349998,204.139999,113.739998
2019-04-24,68.830002,47.380001,200.539993,113.550003
2019-04-25,68.730003,47.290001,201.399994,113.610001
2019-04-26,69.510002,47.889999,203.080002,114.470001
2019-04-29,71.029999,48.459999,206.919998,116.120003
2019-04-30,70.699997,48.250000,205.919998,116.050003
2019-05-01,69.959999,47.570000,204.729996,115.160004
2019-05-02,70.360001,47.810001,204.990005,115.410004
2019-05-03,70.669998,48.060001,207.520004,116.120003
2019-05-06,70.410004,47.709999,206.429993,115.089996
2019-05-07,68.160004,46.709999,202.630005,113.209999
2019-05-08,68.220001,46.529999,200.949997,112.610001
2019-05-09,67.629997,46.450001,201.630005,112.519997
2019-05-10,67.900002,46.340000,202.050003,112.510002
2019-05-13,64.379997,44.180000,194.970001,109.449997
2019-05-14,65.260002,44.009998,196.279999,110.320000
2019-05-15,64.870003,43.900002,196.399994,109.900002
2019-05-16,65.980003,44.279999,199.139999,111.309998
2019-05-17,65.070000,43.880001,197.429993,110.769997
2019-05-20,64.959999,43.869999,197.240005,111.349998
2019-05-21,66.080002,44.389999,199.110001,111.730003
2019-05-22,64.660004,43.490002,195.520004,110.820000
2019-05-23,63.900002,42.709999,191.970001,108.639999
2019-05-24,64.389999,42.959999,193.000000,109.709999
2019-05-28,63.790001,42.169998,189.440002,108.519997
2019-05-29,63.709999,42.189999,188.050003,108.220001
2019-05-30,63.610001,41.830002,187.369995,107.059998
2019-05-31,62.150002,40.689999,182.490005,105.959999
2019-06-03,62.610001,40.730000,183.190002,106.459999
2019-06-04,65.879997,42.480000,189.880005,109.739998
2019-06-05,65.779999,42.430000,188.440002,110.129997
2019-06-06,66.470001,42.810001,189.809998,110.370003
2019-06-07,65.690002,42.700001,189.809998,109.160004
2019-06-10,67.120003,43.290001,194.119995,110.339996
2019-06-11,67.879997,43.669998,194.729996,110.680000
2019-06-12,66.809998,42.619999,190.220001,109.269997
2019-06-13,67.080002,42.950001,191.449997,109.540001
2019-06-14,67.480003,42.820000,191.660004,109.820000
2019-06-17,66.540001,42.509998,190.830002,109.220001
2019-06-18,67.980003,43.340000,194.979996,110.709999
2019-06-19,67.589996,43.139999,195.639999,109.910004
2019-06-20,68.099998,43.459999,195.699997,110.190002
